Controller IP Address is:	10.12.6.17
Controller Port is:	501
Current RSU ID daisy_anthem
/nojournal/bin/ConfigInfo_Anthem.txt
Current timing plan is:	32651
Phase_Num 8Phase_Seq 1 2 3 4 5 6 7 8Gmin	4	15	4	8	4	15	4	8Yellow	3	3.6	3	4	3	3.6	3	4Red	1	3.1	1	4.3	1	3.1	1	4.3Gmax	16	49	29	26	34	31	17	38PedWalk	0	7	0	7	0	7	0	7PedClr	0	39	0	40	0	39	0	40 Cannot connect to RSU!!!!!  At time: 1591743867.46 
 Cannot connect to RSU!!!!!  At time: 1591743873.87 
 Cannot connect to RSU!!!!!  At time: 1591743880.28 
 Cannot connect to RSU!!!!!  At time: 1591743886.69 
 Cannot connect to RSU!!!!!  At time: 1591743893.10 
 Cannot connect to RSU!!!!!  At time: 1591743899.50 
 Cannot connect to RSU!!!!!  At time: 1591743905.91 
 Cannot connect to RSU!!!!!  At time: 1591743912.32 
 Cannot connect to RSU!!!!!  At time: 1591743918.73 
 Cannot connect to RSU!!!!!  At time: 1591743925.14 
 Cannot connect to RSU!!!!!  At time: 1591743931.55 
 Cannot connect to RSU!!!!!  At time: 1591743937.95 
 Cannot connect to RSU!!!!!  At time: 1591743944.36 
 Cannot connect to RSU!!!!!  At time: 1591743950.77 
 Cannot connect to RSU!!!!!  At time: 1591743957.18 
 Cannot connect to RSU!!!!!  At time: 1591743963.58 
 Cannot connect to RSU!!!!!  At time: 1591743969.99 
 Cannot connect to RSU!!!!!  At time: 1591743976.40 
 Cannot connect to RSU!!!!!  At time: 1591743982.81 
 Cannot connect to RSU!!!!!  At time: 1591743989.22 
 Cannot connect to RSU!!!!!  At time: 1591743995.62 
 Cannot connect to RSU!!!!!  At time: 1591744002.03 
 Cannot connect to RSU!!!!!  At time: 1591744008.44 
 Cannot connect to RSU!!!!!  At time: 1591744014.85 
 Cannot connect to RSU!!!!!  At time: 1591744021.25 
 Cannot connect to RSU!!!!!  At time: 1591744027.66 
 Cannot connect to RSU!!!!!  At time: 1591744034.07 
 Cannot connect to RSU!!!!!  At time: 1591744040.48 
 Cannot connect to RSU!!!!!  At time: 1591744046.89 
 Cannot connect to RSU!!!!!  At time: 1591744053.29 
 Cannot connect to RSU!!!!!  At time: 1591744059.70 
 Cannot connect to RSU!!!!!  At time: 1591744066.11 
 Cannot connect to RSU!!!!!  At time: 1591744072.52 
