log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,regionalId,intersectionId,msgCount,moy,msom,v1_currState,v1_minEndTime,v1_maxEndTime,v1_elapsedTime,v2_currState,v2_minEndTime,v2_maxEndTime,v2_elapsedTime,v3_currState,v3_minEndTime,v3_maxEndTime,v3_elapsedTime,v4_currState,v4_minEndTime,v4_maxEndTime,v4_elapsedTime,v5_currState,v5_minEndTime,v5_maxEndTime,v5_elapsedTime,v6_currState,v6_minEndTime,v6_maxEndTime,v6_elapsedTime,v7_currState,v7_minEndTime,v7_maxEndTime,v7_elapsedTime,v8_currState,v8_minEndTime,v8_maxEndTime,v8_elapsedTime,p1_currState,p1_minEndTime,p1_maxEndTime,p1_elapsedTime,p2_currState,p2_minEndTime,p2_maxEndTime,p2_elapsedTime,p3_currState,p3_minEndTime,p3_maxEndTime,p3_elapsedTime,p4_currState,p4_minEndTime,p4_maxEndTime,p4_elapsedTime,p5_currState,p5_minEndTime,p5_maxEndTime,p5_elapsedTime,p6_currState,p6_minEndTime,p6_maxEndTime,p6_elapsedTime,p7_currState,p7_minEndTime,p7_maxEndTime,p7_elapsedTime,p8_currState,p8_minEndTime,p8_maxEndTime,p8_elapsedTime
2021-03-08 23:49:34.013443,1615247374.0134528,2021-03-08 23:49:34.013209,1615247374.013216,0,26807,1,96469,34012,permissive_yellow,380,1087,0.0,green,50,237,0.0,red,100,287,0.0,red,230,587,0.0,permissive_yellow,380,1087,0.0,green,50,237,0.0,red,100,287,0.0,red,230,587,0.0,do_not_walk,0,0,0.0,do_not_walk,380,380,0.0,do_not_walk,0,0,0.0,do_not_walk,230,230,0.0,do_not_walk,0,0,0.0,do_not_walk,510,510,0.0,do_not_walk,0,0,0.0,do_not_walk,230,230,0.0
2021-03-08 23:49:34.112066,1615247374.1120746,2021-03-08 23:49:34.111854,1615247374.111859,0,26807,2,96469,34110,permissive_yellow,380,1086,1,green,50,236,1,red,100,286,1,red,230,586,1,permissive_yellow,380,1086,1,green,50,236,1,red,100,286,1,red,230,586,1,do_not_walk,0,0,1,do_not_walk,380,380,1,do_not_walk,0,0,1,do_not_walk,230,230,1,do_not_walk,0,0,1,do_not_walk,510,510,1,do_not_walk,0,0,1,do_not_walk,230,230,1
2021-03-08 23:49:34.212192,1615247374.2122006,2021-03-08 23:49:34.211985,1615247374.21199,0,26807,3,96469,34210,permissive_yellow,380,1085,2,green,50,235,2,red,100,285,2,red,230,585,2,permissive_yellow,380,1085,2,green,50,235,2,red,100,285,2,red,230,585,2,do_not_walk,0,0,2,do_not_walk,380,380,2,do_not_walk,0,0,2,do_not_walk,230,230,2,do_not_walk,0,0,2,do_not_walk,510,510,2,do_not_walk,0,0,2,do_not_walk,230,230,2
2021-03-08 23:49:34.314284,1615247374.3142936,2021-03-08 23:49:34.314066,1615247374.314071,0,26807,4,96469,34313,permissive_yellow,380,1084,3,green,50,234,3,red,100,284,3,red,230,584,3,permissive_yellow,380,1084,3,green,50,234,3,red,100,284,3,red,230,584,3,do_not_walk,0,0,3,do_not_walk,380,380,3,do_not_walk,0,0,3,do_not_walk,230,230,3,do_not_walk,0,0,3,do_not_walk,510,510,3,do_not_walk,0,0,3,do_not_walk,230,230,3
2021-03-08 23:49:34.411901,1615247374.41191,2021-03-08 23:49:34.411693,1615247374.411699,0,26807,5,96469,34410,permissive_yellow,380,1083,4,green,50,233,4,red,100,283,4,red,230,583,4,permissive_yellow,380,1083,4,green,50,233,4,red,100,283,4,red,230,583,4,do_not_walk,0,0,4,do_not_walk,380,380,4,do_not_walk,0,0,4,do_not_walk,230,230,4,do_not_walk,0,0,4,do_not_walk,510,510,4,do_not_walk,0,0,4,do_not_walk,230,230,4
2021-03-08 23:49:34.520596,1615247374.520605,2021-03-08 23:49:34.520387,1615247374.520392,0,26807,6,96469,34519,permissive_yellow,380,1082,5,green,50,232,5,red,100,282,5,red,230,582,5,permissive_yellow,380,1082,5,green,50,232,5,red,100,282,5,red,230,582,5,do_not_walk,0,0,5,do_not_walk,380,380,5,do_not_walk,0,0,5,do_not_walk,230,230,5,do_not_walk,0,0,5,do_not_walk,510,510,5,do_not_walk,0,0,5,do_not_walk,230,230,5
2021-03-08 23:49:34.621419,1615247374.6214302,2021-03-08 23:49:34.621148,1615247374.621157,0,26807,7,96469,34619,permissive_yellow,379,1081,6,green,49,231,6,red,99,281,6,red,229,581,6,permissive_yellow,379,1081,6,green,49,231,6,red,99,281,6,red,229,581,6,do_not_walk,0,0,6,do_not_walk,379,379,6,do_not_walk,0,0,6,do_not_walk,229,229,6,do_not_walk,0,0,6,do_not_walk,509,509,6,do_not_walk,0,0,6,do_not_walk,229,229,6
2021-03-08 23:49:34.726371,1615247374.726394,2021-03-08 23:49:34.725700,1615247374.725717,0,26807,8,96469,34722,permissive_yellow,378,1080,7,green,48,230,7,red,98,280,7,red,228,580,7,permissive_yellow,378,1080,7,green,48,230,7,red,98,280,7,red,228,580,7,do_not_walk,0,0,7,do_not_walk,378,378,7,do_not_walk,0,0,7,do_not_walk,228,228,7,do_not_walk,0,0,7,do_not_walk,508,508,7,do_not_walk,0,0,7,do_not_walk,228,228,7
2021-03-08 23:49:34.825796,1615247374.8258219,2021-03-08 23:49:34.825084,1615247374.82511,0,26807,9,96469,34821,permissive_yellow,380,1079,8,green,50,229,8,red,100,279,8,red,230,579,8,permissive_yellow,380,1079,8,green,50,229,8,red,100,279,8,red,230,579,8,do_not_walk,0,0,8,do_not_walk,380,380,8,do_not_walk,0,0,8,do_not_walk,230,230,8,do_not_walk,0,0,8,do_not_walk,510,510,8,do_not_walk,0,0,8,do_not_walk,230,230,8
2021-03-08 23:49:34.926535,1615247374.9265583,2021-03-08 23:49:34.925835,1615247374.925854,0,26807,10,96469,34922,permissive_yellow,380,1078,9,green,50,228,9,red,100,278,9,red,230,578,9,permissive_yellow,380,1078,9,green,50,228,9,red,100,278,9,red,230,578,9,do_not_walk,0,0,9,do_not_walk,380,380,9,do_not_walk,0,0,9,do_not_walk,230,230,9,do_not_walk,0,0,9,do_not_walk,510,510,9,do_not_walk,0,0,9,do_not_walk,230,230,9
