log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,regionalId,intersectionId,msgCount,moy,msom,v1_currState,v1_minEndTime,v1_maxEndTime,v1_elapsedTime,v2_currState,v2_minEndTime,v2_maxEndTime,v2_elapsedTime,v3_currState,v3_minEndTime,v3_maxEndTime,v3_elapsedTime,v4_currState,v4_minEndTime,v4_maxEndTime,v4_elapsedTime,v5_currState,v5_minEndTime,v5_maxEndTime,v5_elapsedTime,v6_currState,v6_minEndTime,v6_maxEndTime,v6_elapsedTime,v7_currState,v7_minEndTime,v7_maxEndTime,v7_elapsedTime,v8_currState,v8_minEndTime,v8_maxEndTime,v8_elapsedTime,p1_currState,p1_minEndTime,p1_maxEndTime,p1_elapsedTime,p2_currState,p2_minEndTime,p2_maxEndTime,p2_elapsedTime,p3_currState,p3_minEndTime,p3_maxEndTime,p3_elapsedTime,p4_currState,p4_minEndTime,p4_maxEndTime,p4_elapsedTime,p5_currState,p5_minEndTime,p5_maxEndTime,p5_elapsedTime,p6_currState,p6_minEndTime,p6_maxEndTime,p6_elapsedTime,p7_currState,p7_minEndTime,p7_maxEndTime,p7_elapsedTime,p8_currState,p8_minEndTime,p8_maxEndTime,p8_elapsedTime
2021-03-08 23:47:01.494452,1615247221.494463,2021-03-08 23:47:01.494219,1615247221.494226,0,26593,1,96467,1493,green,50,199,0.0,red,100,249,0.0,red,0,0,0.0,red,250,749,0.0,red,400,1249,0.0,green,200,699,0.0,red,0,0,0.0,red,250,749,0.0,do_not_walk,0,0,0.0,do_not_walk,100,100,0.0,do_not_walk,0,0,0.0,do_not_walk,250,250,0.0,do_not_walk,0,0,0.0,do_not_walk,400,400,0.0,do_not_walk,0,0,0.0,do_not_walk,250,250,0.0
2021-03-08 23:47:01.593848,1615247221.5938573,2021-03-08 23:47:01.593647,1615247221.593653,0,26593,2,96467,1592,green,50,198,1,red,100,248,1,red,0,0,1,red,250,748,1,red,400,1248,1,green,200,698,1,red,0,0,1,red,250,748,1,do_not_walk,0,0,1,do_not_walk,100,100,1,do_not_walk,0,0,1,do_not_walk,250,250,1,do_not_walk,0,0,1,do_not_walk,400,400,1,do_not_walk,0,0,1,do_not_walk,250,250,1
2021-03-08 23:47:01.696099,1615247221.6961095,2021-03-08 23:47:01.695864,1615247221.69587,0,26593,3,96467,1694,green,50,197,2,red,100,247,2,red,0,0,2,red,250,747,2,red,400,1247,2,green,200,697,2,red,0,0,2,red,250,747,2,do_not_walk,0,0,2,do_not_walk,100,100,2,do_not_walk,0,0,2,do_not_walk,250,250,2,do_not_walk,0,0,2,do_not_walk,400,400,2,do_not_walk,0,0,2,do_not_walk,250,250,2
2021-03-08 23:47:01.794037,1615247221.794051,2021-03-08 23:47:01.793776,1615247221.793781,0,26593,4,96467,1792,green,50,196,3,red,100,246,3,red,0,0,3,red,250,746,3,red,400,1246,3,green,200,696,3,red,0,0,3,red,250,746,3,do_not_walk,0,0,3,do_not_walk,100,100,3,do_not_walk,0,0,3,do_not_walk,250,250,3,do_not_walk,0,0,3,do_not_walk,400,400,3,do_not_walk,0,0,3,do_not_walk,250,250,3
2021-03-08 23:47:01.897602,1615247221.897613,2021-03-08 23:47:01.897368,1615247221.897373,0,26593,5,96467,1896,green,50,195,4,red,100,245,4,red,0,0,4,red,250,745,4,red,400,1245,4,green,200,695,4,red,0,0,4,red,250,745,4,do_not_walk,0,0,4,do_not_walk,100,100,4,do_not_walk,0,0,4,do_not_walk,250,250,4,do_not_walk,0,0,4,do_not_walk,400,400,4,do_not_walk,0,0,4,do_not_walk,250,250,4
2021-03-08 23:47:01.997016,1615247221.9970279,2021-03-08 23:47:01.996787,1615247221.996792,0,26593,6,96467,1995,green,50,194,5,red,100,244,5,red,0,0,5,red,250,744,5,red,400,1244,5,green,200,694,5,red,0,0,5,red,250,744,5,do_not_walk,0,0,5,do_not_walk,100,100,5,do_not_walk,0,0,5,do_not_walk,250,250,5,do_not_walk,0,0,5,do_not_walk,400,400,5,do_not_walk,0,0,5,do_not_walk,250,250,5
2021-03-08 23:47:02.100275,1615247222.1002972,2021-03-08 23:47:02.099580,1615247222.0996,0,26593,7,96467,2095,green,50,193,6,red,100,243,6,red,0,0,6,red,250,743,6,red,400,1243,6,green,200,693,6,red,0,0,6,red,250,743,6,do_not_walk,0,0,6,do_not_walk,100,100,6,do_not_walk,0,0,6,do_not_walk,250,250,6,do_not_walk,0,0,6,do_not_walk,400,400,6,do_not_walk,0,0,6,do_not_walk,250,250,6
2021-03-08 23:47:02.201457,1615247222.2014806,2021-03-08 23:47:02.200748,1615247222.200768,0,26593,8,96467,2196,green,50,192,7,red,100,242,7,red,0,0,7,red,250,742,7,red,400,1242,7,green,200,692,7,red,0,0,7,red,250,742,7,do_not_walk,0,0,7,do_not_walk,100,100,7,do_not_walk,0,0,7,do_not_walk,250,250,7,do_not_walk,0,0,7,do_not_walk,400,400,7,do_not_walk,0,0,7,do_not_walk,250,250,7
2021-03-08 23:47:02.302273,1615247222.3022976,2021-03-08 23:47:02.301500,1615247222.301522,0,26593,9,96467,2297,green,50,191,8,red,100,241,8,red,0,0,8,red,250,741,8,red,400,1241,8,green,200,691,8,red,0,0,8,red,250,741,8,do_not_walk,0,0,8,do_not_walk,100,100,8,do_not_walk,0,0,8,do_not_walk,250,250,8,do_not_walk,0,0,8,do_not_walk,400,400,8,do_not_walk,0,0,8,do_not_walk,250,250,8
2021-03-08 23:47:02.403942,1615247222.403952,2021-03-08 23:47:02.403673,1615247222.40368,0,26593,10,96467,2402,green,50,190,9,red,100,240,9,red,0,0,9,red,250,740,9,red,400,1240,9,green,200,690,9,red,0,0,9,red,250,740,9,do_not_walk,0,0,9,do_not_walk,100,100,9,do_not_walk,0,0,9,do_not_walk,250,250,9,do_not_walk,0,0,9,do_not_walk,400,400,9,do_not_walk,0,0,9,do_not_walk,250,250,9
