secMark,latitude,longitude,elevation,heading,speed
30000,33.8562147,-112.1054695,555.4,1.4e+02,18
31000,33.8562019,-112.105458,555.4,1.4e+02,18
31000,33.8561893,-112.1054462,555.4,1.4e+02,18
31000,33.8561893,-112.1054462,555.4,1.4e+02,18
31000,33.8561764,-112.1054342,555.4,1.4e+02,18
31000,33.8561638,-112.1054223,555.4,1.4e+02,18
31000,33.8561511,-112.1054108,555.4,1.4e+02,18
31000,33.8561255,-112.1053876,555.4,1.4e+02,18
31000,33.8561129,-112.1053761,555.4,1.4e+02,18
31000,33.8561129,-112.1053761,555.4,1.4e+02,18
31000,33.8560997,-112.1053649,555.4,1.4e+02,18
31000,33.856087,-112.1053533,555.4,1.4e+02,18
32000,33.856074,-112.1053415,555.4,1.4e+02,18
32000,33.8560612,-112.10533,555.4,1.4e+02,18
32000,33.8560483,-112.1053192,555.3,1.4e+02,18
32000,33.8560356,-112.1053081,555.3,1.4e+02,18
32000,33.8560356,-112.1053081,555.3,1.4e+02,18
32000,33.855996,-112.1052741,555.3,1.4e+02,18
32000,33.8559828,-112.1052629,555.3,1.4e+02,18
32000,33.8559699,-112.1052518,555.3,1.4e+02,18
32000,33.8559569,-112.1052407,555.3,1.4e+02,18
33000,33.8559436,-112.1052293,555.3,1.4e+02,18
33000,33.8559304,-112.1052181,555.3,1.4e+02,18
33000,33.8559304,-112.1052181,555.3,1.4e+02,18
33000,33.8559169,-112.105207,555.2,1.4e+02,18
33000,33.8559037,-112.1051958,555.2,1.4e+02,18
33000,33.8558903,-112.1051845,555.2,1.4e+02,18
33000,33.8558636,-112.1051619,555.1,1.4e+02,18
33000,33.8558504,-112.1051506,555.1,1.4e+02,18
33000,33.8558363,-112.1051396,555.1,1.5e+02,18
33000,33.8558227,-112.1051285,555.1,1.5e+02,18
33000,33.8558227,-112.1051285,555.1,1.5e+02,18
34000,33.8558089,-112.1051175,555,1.5e+02,18
34000,33.8557954,-112.1051064,555,1.5e+02,18
34000,33.8557815,-112.1050955,555,1.5e+02,18
34000,33.8557678,-112.1050846,555,1.5e+02,18
34000,33.8557678,-112.1050846,555,1.5e+02,18
34000,33.8557261,-112.1050528,554.9,1.5e+02,18
34000,33.8557122,-112.1050423,554.9,1.5e+02,18
34000,33.8556984,-112.1050317,554.9,1.5e+02,18
34000,33.8556846,-112.1050213,554.9,1.5e+02,18
35000,33.8556706,-112.1050107,554.8,1.5e+02,18
35000,33.8556567,-112.1050002,554.8,1.5e+02,18
35000,33.8556422,-112.1049903,554.7,1.5e+02,18
35000,33.8556281,-112.1049802,554.7,1.5e+02,18
35000,33.8556143,-112.10497,554.7,1.5e+02,18
35000,33.8556003,-112.10496,554.7,1.5e+02,18
35000,33.8556003,-112.10496,554.7,1.5e+02,18
35000,33.8555854,-112.1049495,554.6,1.5e+02,18
35000,33.8555713,-112.1049393,554.6,1.5e+02,18
35000,33.855557,-112.1049297,554.5,1.5e+02,18
35000,33.8555428,-112.1049197,554.5,1.5e+02,18
36000,33.8555279,-112.1049096,554.5,1.5e+02,18
36000,33.8555136,-112.1048995,554.5,1.5e+02,18
36000,33.8554989,-112.1048897,554.4,1.5e+02,19
36000,33.8554844,-112.1048797,554.4,1.5e+02,19
36000,33.8554844,-112.1048797,554.4,1.5e+02,19
36000,33.85544,-112.1048501,554.2,1.5e+02,19
36000,33.8554252,-112.1048403,554.2,1.5e+02,19
36000,33.8554104,-112.1048303,554.1,1.5e+02,19
36000,33.8553956,-112.1048204,554.1,1.5e+02,19
36000,33.8553956,-112.1048204,554.1,1.5e+02,19
37000,33.8553807,-112.1048109,554,1.5e+02,19
37000,33.8553659,-112.1048011,554,1.5e+02,19
37000,33.855351,-112.1047911,554,1.5e+02,19
37000,33.8553211,-112.1047717,553.9,1.5e+02,19
37000,33.8553062,-112.104762,553.9,1.5e+02,19
37000,33.8552912,-112.1047525,553.8,1.5e+02,19
37000,33.8552763,-112.1047428,553.8,1.5e+02,19
37000,33.8552613,-112.1047331,553.7,1.5e+02,19
37000,33.8552463,-112.1047235,553.7,1.5e+02,19
38000,33.8552312,-112.104714,553.7,1.5e+02,19
38000,33.8552162,-112.1047044,553.7,1.5e+02,19
38000,33.8552162,-112.1047044,553.7,1.5e+02,19
38000,33.8552015,-112.1046953,553.6,1.5e+02,19
38000,33.8551866,-112.1046859,553.6,1.5e+02,19
38000,33.8551866,-112.1046859,553.6,1.5e+02,19
38000,33.8551416,-112.1046574,553.4,1.5e+02,19
38000,33.8551267,-112.104648,553.4,1.5e+02,19
38000,33.8551267,-112.104648,553.4,1.5e+02,19
38000,33.8551112,-112.1046388,553.3,1.5e+02,19
39000,33.855081,-112.10462,553.3,1.5e+02,19
39000,33.855066,-112.1046106,553.3,1.5e+02,19
39000,33.855066,-112.1046106,553.3,1.5e+02,19
39000,33.855051,-112.1046009,553.2,1.5e+02,19
39000,33.855036,-112.1045914,553.2,1.5e+02,19
39000,33.8550209,-112.1045821,553.1,1.5e+02,19
39000,33.8550058,-112.1045726,553.1,1.5e+02,19
39000,33.8549903,-112.1045629,553,1.5e+02,19
39000,33.8549752,-112.1045534,553,1.5e+02,19
39000,33.8549599,-112.1045439,552.9,1.5e+02,19
40000,33.8549295,-112.1045249,552.8,1.5e+02,19
40000,33.8549143,-112.1045154,552.8,1.5e+02,19
40000,33.8549143,-112.1045154,552.8,1.5e+02,19
40000,33.8548989,-112.1045057,552.7,1.5e+02,19
40000,33.8548838,-112.1044962,552.7,1.5e+02,19
40000,33.8548684,-112.1044866,552.6,1.5e+02,19
40000,33.854838,-112.1044676,552.5,1.5e+02,19
40000,33.8548229,-112.1044582,552.5,1.5e+02,19
40000,33.8548073,-112.1044484,552.4,1.5e+02,19
40000,33.8547921,-112.1044387,552.4,1.5e+02,19
41000,33.8547768,-112.1044291,552.3,1.5e+02,19
41000,33.8547616,-112.1044195,552.3,1.5e+02,19
41000,33.854746,-112.1044098,552.2,1.5e+02,19
41000,33.8547306,-112.1044001,552.2,1.5e+02,19
41000,33.8547306,-112.1044001,552.2,1.5e+02,19
41000,33.8547151,-112.1043905,552.1,1.5e+02,19
41000,33.8546842,-112.1043713,552.1,1.5e+02,19
41000,33.8546688,-112.1043616,552.1,1.5e+02,19
41000,33.8546531,-112.1043517,551.9,1.5e+02,19
41000,33.8546377,-112.104342,551.9,1.5e+02,19
42000,33.8546218,-112.1043327,551.9,1.5e+02,19
42000,33.8546062,-112.1043232,551.9,1.5e+02,19
42000,33.8546062,-112.1043232,551.9,1.5e+02,19
42000,33.8545908,-112.1043131,551.8,1.5e+02,19
42000,33.8545753,-112.1043033,551.8,1.5e+02,19
42000,33.8545753,-112.1043033,551.8,1.5e+02,19
42000,33.8545283,-112.1042741,551.6,1.5e+02,20
42000,33.8545126,-112.1042643,551.6,1.5e+02,20
42000,33.8544965,-112.1042544,551.6,1.5e+02,20
42000,33.8544807,-112.1042445,551.6,1.5e+02,20
43000,33.8544654,-112.1042348,551.5,1.5e+02,20
43000,33.8544498,-112.104225,551.5,1.5e+02,20
43000,33.8544338,-112.1042153,551.4,1.5e+02,20
43000,33.8544181,-112.1042054,551.4,1.5e+02,20
43000,33.8544025,-112.1041958,551.4,1.5e+02,20
43000,33.8543868,-112.104186,551.4,1.5e+02,20
43000,33.8543711,-112.1041761,551.3,1.5e+02,20
43000,33.8543555,-112.1041663,551.3,1.5e+02,20
43000,33.8543397,-112.1041568,551.3,1.5e+02,20
43000,33.854324,-112.1041471,551.3,1.5e+02,20
44000,33.8543084,-112.1041368,551.2,1.5e+02,20
44000,33.8542927,-112.1041269,551.2,1.5e+02,20
44000,33.8542769,-112.1041172,551.2,1.5e+02,20
44000,33.8542613,-112.1041073,551.2,1.5e+02,20
44000,33.8542458,-112.1040977,551.2,1.5e+02,20
44000,33.8542302,-112.1040879,551.2,1.5e+02,20
44000,33.8542144,-112.1040781,551.1,1.5e+02,20
44000,33.8541988,-112.1040683,551.1,1.5e+02,20
44000,33.8541835,-112.1040587,551.1,1.5e+02,19
44000,33.854168,-112.104049,551.1,1.5e+02,19
45000,33.8541523,-112.1040391,551,1.5e+02,19
45000,33.8541368,-112.1040294,551,1.5e+02,19
45000,33.8541368,-112.1040294,551,1.5e+02,19
45000,33.8541211,-112.1040198,551,1.5e+02,19
45000,33.8540901,-112.1040003,551,1.5e+02,19
45000,33.8540745,-112.1039905,551,1.5e+02,19
45000,33.8540587,-112.1039809,550.9,1.5e+02,20
45000,33.8540431,-112.1039713,550.9,1.5e+02,20
45000,33.8540273,-112.1039612,550.9,1.5e+02,20
45000,33.8540117,-112.1039514,550.9,1.5e+02,20
46000,33.853996,-112.1039418,550.9,1.5e+02,20
46000,33.8539803,-112.103932,550.9,1.5e+02,20
46000,33.8539803,-112.103932,550.9,1.5e+02,20
46000,33.8539644,-112.1039225,550.9,1.5e+02,20
46000,33.8539487,-112.1039127,550.9,1.5e+02,20
46000,33.8539333,-112.103903,550.9,1.5e+02,20
46000,33.8539176,-112.1038933,550.9,1.5e+02,20
46000,33.8539019,-112.1038837,550.9,1.5e+02,20
46000,33.8538706,-112.1038643,550.8,1.5e+02,20
46000,33.8538551,-112.1038546,550.8,1.5e+02,20
46000,33.8538551,-112.1038546,550.8,1.5e+02,20
47000,33.8538393,-112.103845,550.8,1.5e+02,20
47000,33.8538237,-112.1038353,550.8,1.5e+02,20
47000,33.8538082,-112.1038256,550.8,1.5e+02,19
47000,33.8537772,-112.1038066,550.8,1.5e+02,19
47000,33.8537617,-112.103797,550.8,1.5e+02,19
47000,33.8537462,-112.1037875,550.8,1.5e+02,19
47000,33.8537308,-112.1037779,550.8,1.5e+02,19
47000,33.8537154,-112.1037684,550.8,1.5e+02,19
47000,33.8537,-112.1037588,550.8,1.5e+02,19
48000,33.8536846,-112.103749,550.8,1.5e+02,19
48000,33.8536693,-112.1037393,550.8,1.5e+02,19
48000,33.8536693,-112.1037393,550.8,1.5e+02,19
48000,33.8536539,-112.1037302,550.8,1.5e+02,19
48000,33.8536234,-112.1037112,550.8,1.5e+02,19
48000,33.8536083,-112.1037018,550.8,1.5e+02,19
48000,33.8535928,-112.1036923,550.8,1.5e+02,19
48000,33.8535775,-112.1036827,550.8,1.5e+02,19
48000,33.8535624,-112.1036734,550.8,1.5e+02,19
48000,33.8535472,-112.103664,550.8,1.5e+02,19
49000,33.853532,-112.1036543,550.8,1.5e+02,19
49000,33.8535169,-112.1036449,550.8,1.5e+02,19
49000,33.8535169,-112.1036449,550.8,1.5e+02,19
49000,33.8535014,-112.1036354,550.8,1.5e+02,19
49000,33.8534707,-112.1036163,550.8,1.5e+02,19
