secMark,latitude,longitude,elevation,heading,speed
35000,32.2331363,-110.952966,748,1.6e+02,0
35000,32.2331363,-110.952966,748,1.6e+02,0
35000,32.2331361,-110.9529658,747.9,1.6e+02,0
35000,32.2331361,-110.9529658,747.9,1.6e+02,0
36000,32.2331361,-110.952966,748,1.6e+02,0
36000,32.2331361,-110.952966,748,1.6e+02,0
36000,32.233136,-110.952966,747.9,1.6e+02,0
36000,32.233136,-110.952966,747.9,1.6e+02,0
36000,32.233136,-110.952966,748,1.6e+02,0
36000,32.233136,-110.952966,748,1.6e+02,0
36000,32.2331355,-110.952966,748,1.6e+02,0
36000,32.2331355,-110.952966,748,1.6e+02,0
36000,32.2331348,-110.9529658,748.1,1.6e+02,0
36000,32.2331348,-110.9529658,748.1,1.6e+02,0
37000,32.2331346,-110.952966,748.1,1.6e+02,0
37000,32.2331346,-110.952966,748.1,1.6e+02,0
37000,32.2331343,-110.9529656,748,1.6e+02,0
37000,32.2331343,-110.9529656,748,1.6e+02,0
37000,32.2331335,-110.9529655,748,1.6e+02,0
37000,32.2331335,-110.9529655,748,1.6e+02,0
37000,32.233133,-110.9529653,748,1.6e+02,0
37000,32.233133,-110.9529653,748,1.6e+02,0
37000,32.2331331,-110.9529655,748,1.6e+02,0
37000,32.2331331,-110.9529655,748,1.6e+02,0
38000,32.2331326,-110.9529653,748,1.6e+02,0
38000,32.2331326,-110.9529653,748,1.6e+02,0
38000,32.2331325,-110.9529653,748,1.6e+02,0
38000,32.2331325,-110.9529653,748,1.6e+02,0
38000,32.2331325,-110.9529651,747.9,1.6e+02,0
38000,32.2331325,-110.9529651,747.9,1.6e+02,0
38000,32.2331316,-110.952965,747.9,1.6e+02,0
38000,32.2331316,-110.952965,747.9,1.6e+02,0
38000,32.2331319,-110.9529653,747.9,1.6e+02,0
38000,32.2331319,-110.9529653,747.9,1.6e+02,0
39000,32.2331323,-110.9529653,747.9,1.6e+02,0
39000,32.2331323,-110.9529653,747.9,1.6e+02,0
39000,32.2331318,-110.9529653,747.9,1.6e+02,0
39000,32.2331318,-110.9529653,747.9,1.6e+02,0
39000,32.2331313,-110.9529653,747.9,1.6e+02,0
39000,32.2331313,-110.9529653,747.9,1.6e+02,0
39000,32.2331316,-110.9529655,747.9,1.6e+02,0
39000,32.2331316,-110.9529655,747.9,1.6e+02,0
39000,32.2331314,-110.9529653,747.9,1.6e+02,0
39000,32.2331314,-110.9529653,747.9,1.6e+02,0
40000,32.2331308,-110.9529653,747.9,1.6e+02,0
40000,32.2331308,-110.9529653,747.9,1.6e+02,0
40000,32.2331305,-110.9529651,747.9,1.6e+02,0
40000,32.2331305,-110.9529651,747.9,1.6e+02,0
40000,32.2331308,-110.9529651,747.9,1.6e+02,0
40000,32.2331308,-110.9529651,747.9,1.6e+02,0
40000,32.2331294,-110.9529648,747.9,1.6e+02,0
40000,32.2331294,-110.9529648,747.9,1.6e+02,0
40000,32.2331298,-110.9529645,747.9,1.6e+02,0
40000,32.2331298,-110.9529645,747.9,1.6e+02,0
41000,32.2331303,-110.9529646,747.9,1.6e+02,0
41000,32.2331303,-110.9529646,747.9,1.6e+02,0
41000,32.2331298,-110.9529645,747.8,1.6e+02,0
41000,32.2331298,-110.9529645,747.8,1.6e+02,0
41000,32.2331291,-110.9529643,747.9,1.6e+02,0
41000,32.2331291,-110.9529643,747.9,1.6e+02,0
41000,32.2331288,-110.9529643,747.9,1.6e+02,0
41000,32.2331288,-110.9529643,747.9,1.6e+02,0
41000,32.2331286,-110.9529643,747.9,1.6e+02,0
41000,32.2331286,-110.9529643,747.9,1.6e+02,0
42000,32.2331286,-110.9529643,747.9,1.6e+02,0
42000,32.2331286,-110.9529643,747.9,1.6e+02,0
42000,32.2331284,-110.9529645,747.9,1.6e+02,0
42000,32.2331284,-110.9529645,747.9,1.6e+02,0
42000,32.2331273,-110.952964,747.9,1.6e+02,0
42000,32.2331273,-110.952964,747.9,1.6e+02,0
42000,32.2331271,-110.952964,747.9,1.6e+02,0
42000,32.2331271,-110.952964,747.9,1.6e+02,0
42000,32.2331273,-110.9529641,747.9,1.6e+02,0
42000,32.2331273,-110.9529641,747.9,1.6e+02,0
43000,32.2331263,-110.9529638,747.9,1.6e+02,0
43000,32.2331263,-110.9529638,747.9,1.6e+02,0
43000,32.2331263,-110.9529638,747.9,1.6e+02,0
43000,32.2331263,-110.9529638,747.9,1.6e+02,0
43000,32.2331263,-110.9529641,747.9,1.6e+02,0
43000,32.2331263,-110.9529641,747.9,1.6e+02,0
43000,32.2331258,-110.9529641,747.9,1.6e+02,0
43000,32.2331258,-110.9529641,747.9,1.6e+02,0
43000,32.2331258,-110.9529641,747.9,1.6e+02,0
43000,32.2331258,-110.9529641,747.9,1.6e+02,0
44000,32.2331246,-110.9529641,747.9,1.6e+02,0
44000,32.2331246,-110.9529641,747.9,1.6e+02,0
44000,32.2331241,-110.952964,747.9,1.6e+02,0
44000,32.2331241,-110.952964,747.9,1.6e+02,0
44000,32.2331236,-110.9529641,747.9,1.6e+02,0
44000,32.2331236,-110.9529641,747.9,1.6e+02,0
44000,32.2331226,-110.9529638,747.9,1.6e+02,0
44000,32.2331226,-110.9529638,747.9,1.6e+02,0
44000,32.2331216,-110.9529638,748,1.6e+02,0
44000,32.2331216,-110.9529638,748,1.6e+02,0
45000,32.2331213,-110.9529638,748.1,1.6e+02,0
45000,32.2331213,-110.9529638,748.1,1.6e+02,0
45000,32.2331206,-110.9529635,748.1,1.6e+02,0
45000,32.2331206,-110.9529635,748.1,1.6e+02,0
45000,32.2331208,-110.9529638,748.1,1.6e+02,0
45000,32.2331208,-110.9529638,748.1,1.6e+02,0
45000,32.2331208,-110.952964,748.2,1.6e+02,0
45000,32.2331208,-110.952964,748.2,1.6e+02,0
45000,32.2331203,-110.952964,748.2,1.6e+02,0
45000,32.2331203,-110.952964,748.2,1.6e+02,0
