log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2021-01-01 00:01:34.011892,1609459294.011829,2021-01-01 00:01:34.10,1609459294.010307,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:01:34.053293,1609459294.0532534,2021-01-01 00:01:34.52,1609459294.052362,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:01:34.053873,1609459294.0538435,2021-01-01 00:01:34.53,1609459294.053012,300.0,daisy-anthem,MAP,299,NA,NA
2021-01-01 00:01:34.054346,1609459294.0543194,2021-01-01 00:01:34.53,1609459294.053612,300.0,daisy-anthem,SPaT,2998,NA,NA
2021-01-01 00:03:43.518969,1609459423.5189378,2021-01-01 00:03:43.518,1609459423.518287,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:06:34.007631,1609459594.007599,2021-01-01 00:06:34.6,1609459594.006768,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:06:34.046465,1609459594.046432,2021-01-01 00:06:34.45,1609459594.045676,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:06:34.047531,1609459594.0475018,2021-01-01 00:06:34.46,1609459594.046872,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:06:34.048504,1609459594.0484774,2021-01-01 00:06:34.47,1609459594.047863,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 00:08:43.038989,1609459723.0389535,2021-01-01 00:08:43.38,1609459723.038297,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:11:34.007505,1609459894.0074668,2021-01-01 00:11:34.6,1609459894.006628,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:11:34.049199,1609459894.0491595,2021-01-01 00:11:34.48,1609459894.048306,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:11:34.049730,1609459894.0497005,2021-01-01 00:11:34.49,1609459894.04898,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:11:34.050308,1609459894.0502799,2021-01-01 00:11:34.49,1609459894.049595,300.0,daisy-anthem,SPaT,2999,NA,NA
