group,A,B
Memorial-NBTT,24.531153,27.636925
Memorial-NBRT,28.694626,24.547613
Memorial-SBLT,41.104761,42.66522
Memorial-SBTT,24.618562,26.131347
Memorial-SBRT,28.348876,19.811283
Hastings-NBLT,30.086421,26.390469
Hastings-NBRT,35.520541,28.949206
Meridian-NBLT,23.262351,22.764535
Meridian-NBRT,21.750874,21.384597
Dedication-SBLT,27.384581,27.751499
Dedication-SBRT,25.165925,25.241816
Gavilan-NBLT,62.644768,57.410303
Gavilan-NBTT,31.212306,35.677893
Gavilan-NBRT,22.961973,23.198156
Gavilan-SBLT,69.440604,52.774537
Gavilan-SBTT,31.892324,35.747395
Gavilan-SBRT,28.901734,32.831172
Memorial-NBLT,55.34982,51.381593
