Message Sent,Message Received,Display Updated
1575564324.1321676,1575564324.3123198,1575564324.329488
1575564324.1321676,1575564324.4307835,1575564324.438654
1575564324.1321676,1575564324.5402288,1575564324.5488045
1575564324.1321676,1575564324.6499066,1575564324.6565413
1575564324.1321676,1575564324.7577977,1575564324.7640164
1575564324.1321676,1575564324.8652244,1575564324.872009
1575564324.1321676,1575564324.9733446,1575564324.9801378
1575564324.1321676,1575564325.0807185,1575564325.0825095
1575564324.1321676,1575564325.1835134,1575564325.1892836
1575564324.1321676,1575564325.2903495,1575564325.296263
1575564324.1321676,1575564325.3986256,1575564325.4356542
1575564324.1321676,1575564325.5364573,1575564325.5394452
1575564324.1321676,1575564325.6407466,1575564325.6471417
1575564324.1321676,1575564325.7486467,1575564325.757139
1575564324.1321676,1575564325.858295,1575564325.8640118
1575564324.1321676,1575564325.9649968,1575564325.9713585
1575564324.1321676,1575564326.0724893,1575564326.0787241
1575564324.1321676,1575564326.1799085,1575564326.1882226
1575564324.1321676,1575564326.2897491,1575564326.297915
1575564324.1321676,1575564326.39918,1575564326.4049633
1575564324.1321676,1575564326.507139,1575564326.5198715
1575564324.1321676,1575564326.621216,1575564326.6301055
1575564324.1321676,1575564326.73187,1575564326.7394595
1575564324.1321676,1575564326.840518,1575564326.849159
1575564324.1321676,1575564326.9504914,1575564326.9567766
1575564324.1321676,1575564327.0579705,1575564327.0647411
1575564324.1321676,1575564327.1658995,1575564327.1722984
1575564324.1321676,1575564327.2737432,1575564327.2799926
1575564324.1321676,1575564327.3811486,1575564327.3886154
1575564324.1321676,1575564327.4898129,1575564327.4966993
1575564324.1321676,1575564327.5982802,1575564327.6123185
1575564324.1321676,1575564327.713514,1575564327.7202232
1575564324.1321676,1575564327.8214746,1575564327.8284624
1575564324.1321676,1575564327.9296913,1575564327.937704
1575564324.1321676,1575564328.039141,1575564328.0458446
1575564324.1321676,1575564328.147143,1575564328.1533647
1575564324.1321676,1575564328.2545717,1575564328.2614372
1575564324.1321676,1575564328.3627455,1575564328.3700106
1575564324.1321676,1575564328.4713073,1575564328.4779887
1575564324.1321676,1575564328.5793335,1575564328.586067
1575564324.1321676,1575564328.6880698,1575564328.700803
1575564324.1321676,1575564328.8021355,1575564328.809258
1575564324.1321676,1575564328.9106076,1575564328.91719
